# provenance: env=sglang-lab cmd="python scripts/aggregate_groups.py data/raw/EXP-P08 data/derived/exp_p08_8b_fcfs_vs_lpm.csv" source=data/raw/EXP-P08/*_s*.json (3 seeds/cell)
tier,policy,rounds,p50_mean_ms,p50_std,p95_mean_ms,p95_std,p99_mean_ms,p99_std,hit_frac_mean,hit_frac_std,dur_s_mean
boundary,fcfs,3,6659.5,273.9,8839.9,585.2,9537.6,534.9,0.7569,0.0339,26.86
boundary,lpm,3,2505.0,766.7,11987.4,959.5,15655.8,1293.2,0.9342,0.0112,20.41
std,fcfs,3,663.3,14.3,2285.4,326.1,2420.3,258.5,0.9702,0.0273,7.69
std,lpm,3,674.8,9.8,2003.1,285.9,2338.9,72.4,0.9821,0.0060,7.63
